日期,产量
2025-03-03 00:00:00,76760
2025-03-10 00:00:00,77208
2025-03-17 00:00:00,73200
2025-03-24 00:00:00,76888
2025-03-31 00:00:00,69584
2025-04-07 00:00:00,75984
2025-04-14 00:00:00,73040
2025-04-21 00:00:00,73560
2025-04-28 00:00:00,30152
2025-05-05 00:00:00,69504
2025-05-12 00:00:00,73080
2025-05-19 00:00:00,70896
2025-05-26 00:00:00,74600
2025-06-02 00:00:00,76080
2025-06-09 00:00:00,62136
2025-06-16 00:00:00,66256
2025-06-23 00:00:00,66952
2025-06-30 00:00:00,68864
2025-07-07 00:00:00,56800
2025-07-14 00:00:00,35080
2025-07-21 00:00:00,36224
2025-07-28 00:00:00,59624
2025-08-04 00:00:00,63048
2025-08-11 00:00:00,42264
2025-08-18 00:00:00,29344
2025-08-25 00:00:00,31992
2025-09-01 00:00:00,62808
2025-09-08 00:00:00,37160
2025-09-15 00:00:00,46976
2025-09-22 00:00:00,50328
2025-09-29 00:00:00,50568
2025-10-06 00:00:00,45640
2025-10-13 00:00:00,40232
2025-10-20 00:00:00,74368
2025-10-27 00:00:00,85760
2025-11-03 00:00:00,56560
2025-11-10 00:00:00,83776
2025-11-17 00:00:00,75208
2025-11-24 00:00:00,56136
2025-12-01 00:00:00,103736
2025-12-08 00:00:00,82368
2025-12-15 00:00:00,45272
2025-12-22 00:00:00,50240
2025-12-29 00:00:00,132528
2026-01-05 00:00:00,126072
2026-01-12 00:00:00,129120
2026-01-19 00:00:00,127088
2026-01-26 00:00:00,112912
2026-02-02 00:00:00,69888
2026-02-09 00:00:00,44912
2026-02-16 00:00:00,44912
2026-02-23 00:00:00,54520
2026-03-02 00:00:00,139064
2026-03-09 00:00:00,84480
